# SOURCE  AMPLITUDE  MEAN  STDDEV  CHI-SQUARE
#############################################
 CasA  1.09 311.9 127.27   5.9
 PerA  0.04 299.2 149.72  1.43
  DR4  0.01 422.86 116.47  0.89
3C286b  0.02 338.0 120.12  1.42
3C286  0.02 329.06 108.34  1.43
3C227     -     -     -     -
3C273b  0.05 340.89 74.69 247.53
3C218  0.05 321.59  90.1 19.47
 CygA  1.04 309.36 92.12  2.99
SCUTUM  0.11 251.25 139.8  0.29
tip2_a  0.82 70.73 88.44   4.2
3C161     -     -     -     -
 DR21  0.03 501.58 52.04 1.3030
 OriB     -     -     -     -
3C249b     -     -     -     -
Jupite     -     -     -     -
CygAb  1.18 322.2 92.63  3.67
 VirA   0.2 330.01 72.54 188.26
3C309b     -     -     -     -
3C353  0.05 331.8 65.13 1215.6
3C295  0.02 352.54 97.21  1.94
3C309  0.01 325.33 121.12 15.42
3C348b  0.04 326.61 69.62 72.43
CgX3b  0.02 130.16 71.26 113006
3C273  0.06 325.92 75.23  5.73
 OriA  0.52 334.51 70.44 403.29
 7027     -     -     -     -
3C270  0.03 339.23 77.29 179.79
Bl-Lac     -     -     -     -
3C227b  0.26  6.19  8.99   nan
3C249     -     -     -     -
DR21b     -     -     -     -
3C147  0.03 339.67 108.44  8.15
7027b     -     -     -     -
 CgX3  0.01 470.56   0.0   nan
Jupite  0.02 340.13  90.5  7.97
VirAb   0.2 332.33  72.6 159.68
3C270b     -     -     -     -
 TauA  0.88 334.45 73.98 690.73
3C348  0.05 309.88  96.1 21.05
3C353b  0.06 328.97 72.19 1426.3
3C295b  0.02 338.89 111.58  0.69
 DR4b  0.02 417.78 94.66  1.46
CasAb  1.26 314.05 125.05  6.98
saturn  0.17 171.3  69.8 50713.
Bl-Lac     -     -     -     -
3C123  0.04 335.54 84.55 2424.7
SCUTUM     -     -     -     -
